["neural networks", 754.4627860270758]
["contractive autoencoder", 12.541976863716599]
["discriminative learning", 12.541976863716599]
["invariant colour spaces", 12.541976863716599]
["learned representations", 12.541976863716599]
["optimal representations", 12.541976863716599]
["optimization difficulty", 12.541976863716599]
["selfsupervised learning", 12.541976863716599]
["semisupervised training", 12.541976863716599]
["c schmid", 12.476649250079014]
["j weston", 12.476649250079014]
["l feifei", 12.476649250079014]
["m hebert", 12.476649250079014]
["binary codes", 12.424533248940001]
["domain shift", 12.424533248940001]
["general case", 12.424533248940001]
["input images", 12.424533248940001]
["jason weston", 12.424533248940001]
["label spaces", 12.424533248940001]
["long history", 12.424533248940001]
["simple model", 12.424533248940001]
["log p", 12.415663895920202]
["classification results", 12.364169813433264]
["conditional covariance", 12.364169813433264]
["conditional likelihood", 12.364169813433264]
["deep learning research", 12.364169813433264]
["industrial researchers", 12.364169813433264]
["marginal distributions", 12.364169813433264]
["multilayer perceptrons", 12.364169813433264]
["multiple related tasks", 12.364169813433264]
["multiple segmentations", 12.364169813433264]
["personal communication", 12.364169813433264]
["secondorder statistics", 12.364169813433264]
["segmentation algorithm", 12.364169813433264]
["timit speech utterance", 12.364169813433264]
["acquisition functions", 12.178089750893692]
["bayes decision theory", 12.178089750893692]
["ieee computer society", 12.178089750893692]
["kolmogorov complexity", 12.178089750893692]
["learning architecture", 12.178089750893692]
["multimodal processing", 12.178089750893692]
["normalization methods", 12.178089750893692]
["ranking loss function", 12.178089750893692]
["system identification", 12.178089750893692]
["word recognition", 12.014551129705717]
["data points", 11.989476363991853]
["gp approach", 11.989476363991853]
["neural netw", 11.989476363991853]
["posterior p", 11.989476363991853]
["query patch", 11.989476363991853]
["tiny images", 11.989476363991853]
["van otterlo", 11.989476363991853]
["comprehensive review", 11.982929094215963]
["covariance functions", 11.982929094215963]
["good representations", 11.982929094215963]
["hard negative mining", 11.982929094215963]
["highdimensional data", 11.982929094215963]
["inductive principles", 11.982929094215963]
["initialization point", 11.982929094215963]
["input representation", 11.982929094215963]
["nongenerative models", 11.982929094215963]
["optimization process", 11.982929094215963]
["paraphrase detection", 11.982929094215963]
["partofspeech tagging", 11.982929094215963]
["pedestrian detection", 11.982929094215963]
["ruslan salakhutdinov", 11.982929094215963]
["singlelayer networks", 11.982929094215963]
["superior performance", 11.982929094215963]
["uniform distribution", 11.982929094215963]
["unsupervised network", 11.982929094215963]
["word representations", 11.982929094215963]
["problem depth", 11.969763668153838]
["gradient descent procedure", 11.946353972745435]
["discriminative training", 11.914878020530768]
["word embedding", 11.875757983268663]
["applied mathematics", 11.777755916665761]
["content consistency", 11.777755916665761]
["data reconstruction", 11.777755916665761]
["efficient algorithm", 11.777755916665761]
["fast approximations", 11.777755916665761]
["gpu implementations", 11.777755916665761]
["graphics processors", 11.777755916665761]
["interdependent data", 11.777755916665761]
["linear output units", 11.777755916665761]
["markov random field", 11.777755916665761]
["pretrained networks", 11.777755916665761]
["small perturbations", 11.777755916665761]
["stanford university", 11.777755916665761]
["training strategies", 11.777755916665761]
["widelyused strategy", 11.777755916665761]
["cross entropy", 11.725482776967024]
["apb vol", 11.675460894331879]
["imagenet large scale visual recognition challenge", 11.675460894331879]
["z akata", 11.675460894331879]
["contextdependent pretrained deep neural networks", 11.613603032723674]
["chinese characters", 11.561487031584658]
["consecutive frames", 11.561487031584658]
["convex combination", 11.561487031584658]
["data distributions", 11.561487031584658]
["direct connections", 11.561487031584658]
["expensive features", 11.561487031584658]
["gp hyperparameters", 11.561487031584658]
["handwritten digits", 11.561487031584658]
["neighborhood graph", 11.561487031584658]
["oriented gradients", 11.561487031584658]
["sentiment analysis", 11.561487031584658]
["speech translation", 11.561487031584658]
["swiss ai lab idsia", 11.561487031584658]
["training instances", 11.561487031584658]
["training iteration", 11.561487031584658]
["unsupervised representation", 11.535429031015152]
["basic idea", 11.51292546497023]
["d anguelov", 11.51292546497023]
["j bergstra", 11.51292546497023]
["john wiley", 11.51292546497023]
["late 1980s", 11.51292546497023]
["o chapelle", 11.51292546497023]
["nips", 11.367613761183101]
["clicked documents", 11.332853376224865]
["computer clusters", 11.332853376224865]
["convolutional nns", 11.332853376224865]
["data distribution", 11.332853376224865]
["endtoend learning", 11.332853376224865]
["excellent results", 11.332853376224865]
["face verification", 11.332853376224865]
["label propagation", 11.332853376224865]
["linear regression", 11.332853376224865]
["maxpooling layers", 11.332853376224865]
["model parallelism", 11.332853376224865]
["network structure", 11.332853376224865]
["parallel training", 11.332853376224865]
["region refinement", 11.332853376224865]
["search strategies", 11.332853376224865]
["sequence training", 11.332853376224865]
["spatial coherence", 11.332853376224865]
["spectral features", 11.332853376224865]
["subsequent layers", 11.332853376224865]
["training criteria", 11.332853376224865]
["optimization procedures", 11.28777917734494]
["unsupervised feature", 11.127005587486252]
["backpropagation learning", 11.12318840621781]
["asynchronous sgd", 11.090354888959125]
["challenging task", 11.090354888959125]
["feature detector", 11.090354888959125]
["general approach", 11.090354888959125]
["information loss", 11.090354888959125]
["labeled examples", 11.090354888959125]
["major difference", 11.090354888959125]
["music processing", 11.090354888959125]
["object locations", 11.090354888959125]
["overcomplete set", 11.090354888959125]
["phone error rate", 11.090354888959125]
["projection layer", 11.090354888959125]
["scene conditions", 11.090354888959125]
["shallow problems", 11.090354888959125]
["sparse gradients", 11.090354888959125]
["speech waveforms", 11.090354888959125]
["steepest descent", 11.090354888959125]
["top hidden layer", 11.090354888959125]
["training process", 11.090354888959125]
["von der malsburg", 11.090354888959125]
["unsupervised multistage feature learning", 11.06663836234181]
["real world", 11.05240844637142]
["c doersch", 10.986122886681098]
["cap depth", 10.986122886681098]
["deep nets", 10.986122886681098]
["p haffner", 10.986122886681098]
["r m", 10.986122886681098]
["ℓth layer", 10.986122886681098]
["3layer networks", 10.83220080440884]
["andrew mccallum", 10.83220080440884]
["cosine distance", 10.83220080440884]
["deeper networks", 10.83220080440884]
["direct encoding", 10.83220080440884]
["dnnhmm approach", 10.83220080440884]
["hybrid approach", 10.83220080440884]
["largescale deep", 10.83220080440884]
["maxout networks", 10.83220080440884]
["open class risk", 10.83220080440884]
["random sampling", 10.83220080440884]
["realvalued data", 10.83220080440884]
["salakhutdinov r", 10.83220080440884]
["shallow methods", 10.83220080440884]
["small data sets", 10.83220080440884]
["springer verlag", 10.83220080440884]
["subsequent work", 10.83220080440884]
["surrogate tasks", 10.83220080440884]
["text processing", 10.83220080440884]
["time complexity", 10.83220080440884]
["top5 error rate", 10.83220080440884]
["vision research", 10.83220080440884]
["visual features", 10.83220080440884]
["local minima", 10.767928815748]
["m long", 10.75055681536833]
["twentyfifth international conference", 10.75055681536833]
["understanding convolutional networks", 10.75055681536833]
["y chen", 10.75055681536833]
["dimensionality reduction techniques", 10.666044184468241]
["hierarchical reinforcement learning", 10.666044184468241]
["largescale sentiment classification", 10.666044184468241]
["nonnegative matrix trifactorization", 10.666044184468241]
["synthetic text classification tasks", 10.666044184468241]
["binary classification", 10.65582853203198]
["accelerating deep network training", 10.579081573848484]
["connectionist models summer school", 10.579081573848484]
["largevocabulary speech recognition", 10.579081573848484]
["stateoftheart deep neural networks", 10.579081573848484]
["street view house numbers data set", 10.579081573848484]
["distribution p", 10.556229318461034]
["feature values", 10.556229318461034]
["function space", 10.556229318461034]
["ian goodfellow", 10.556229318461034]
["original input", 10.556229318461034]
["positive phase", 10.556229318461034]
["single network", 10.556229318461034]
["solution paths", 10.556229318461034]
["source samples", 10.556229318461034]
["target network", 10.556229318461034]
["unseen classes", 10.556229318461034]
["updating rules", 10.556229318461034]
["visual area v2", 10.556229318461034]
["breast cancer histological images", 10.489522684399441]
["deep convolutional neural network", 10.489522684399441]
["detectionbased speech recognition", 10.489522684399441]
["learning semantic representations", 10.489522684399441]
["representationlearning algorithms", 10.489522684399441]
["pretraining strategy", 10.485062957438968]
["d koller", 10.39720770839918]
["key idea", 10.39720770839918]
["max pool", 10.39720770839918]
["nonlinear information processing", 10.39720770839918]
["nonnormalized statistical models", 10.39720770839918]
["raw data", 10.39720770839918]
["sequence classification criteria", 10.39720770839918]
["x glorot", 10.39720770839918]
["da approach", 10.390879515459606]
["map", 10.386879820134856]
["deep domain adaptation", 10.303474844527718]
["artificial general intelligence", 10.30196161345544]
["heterogeneous domain adaptation", 10.30196161345544]
["traditional pattern recognition", 10.30196161345544]
["unnormalized statistical models", 10.30196161345544]
["unsupervised learning algorithm", 10.30196161345544]
["unsupervised pretrained network", 10.30196161345544]
